item,statement,claim
Q32786,P31,['Q11424']
Q32786,P57,['Q6712903']
Q32786,P161,"['Q277422', 'Q4770059']"
Q32786,P364,['Q36236']
Q32786,P136,['Q130232']
Q32786,P495,['Q668']
Q32786,P86,['Q6712722']
Q32786,P58,['Q6712903']
Q32786,P462,['Q22006653']
Q371,P136,"['Q1643549', 'Q183504', 'Q1899347']"
Q371,P31,['Q215380']
Q371,P910,['Q9398392']
Q371,P264,"['Q543707', 'Q1853623']"
Q371,P495,['Q30']
Q371,P740,['Q18013']
Q3729947,P50,['Q981460']
Q3729947,P179,['Q1100856']
Q3729947,P495,['Q29']
Q3729947,P136,['Q1474729']
Q3729947,P407,['Q1321']
Q3729947,P123,['Q3275000']
Q3729947,P31,['Q1004']
Q3729947,P1433,['Q6024457']
Q158611,P31,['Q215380']
Q158611,P136,"['Q11366', 'Q487914']"
Q158611,P910,['Q9502769']
Q158611,P495,['Q30']
Q158611,P740,['Q65']
Q158611,P264,['Q231694']
Q158611,P527,['Q4271']
Q158611,P358,['Q16970229']
Q158611,P138,['Q104837620']
Q280375,P17,['Q145']
Q280375,P31,['Q41176']
Q280375,P131,"['Q156990', 'Q33225185']"
Q280375,P1435,['Q15700834']
Q280375,P7959,['Q1245075']
Q280375,P276,['Q156990']
Q104414508,P31,['Q16889133']
Q104414508,P279,"['Q515', 'Q69883']"
Q3008535,P31,"['Q79602', 'Q13418847']"
Q3008535,P17,['Q701025']
Q85720601,P31,['Q571']
Q85720601,P50,['Q311671']
Q85720601,P179,['Q16967812']
Q85720601,P155,['Q58276834']
Q85720601,P407,['Q1860']
Q105570,P910,['Q8882740']
Q105570,P31,"['Q13418847', 'Q1344887', 'Q930164', 'Q25906438', 'Q81672']"
Q105570,P276,['Q157153']
Q105570,P2354,['Q493613']
Q105570,P131,['Q319397']
Q105570,P17,['Q36']
Q105570,P361,['Q362']
Q105570,P533,['Q352']
Q105570,P5008,['Q6173448']
Q105570,P3342,"['Q57417', 'Q57408', 'Q21209', 'Q57170']"
Q434841,P17,['Q30']
Q434841,P31,"['Q375336', 'Q1762059', 'Q10689397', 'Q11396960']"
Q434841,P112,"['Q1707966', 'Q364342', 'Q134382']"
Q434841,P910,['Q6970155']
Q434841,P159,['Q1920322']
Q434841,P155,"['Q2295089', 'Q2644123']"
Q434841,P749,['Q2216535']
Q434841,P452,['Q1415395']
Q434841,P1056,['Q7397']
Q434841,P1830,['Q17018738']
Q434841,P1365,"['Q2644123', 'Q14920514', 'Q2295089']"
Q434841,P169,['Q7595870']
Q434841,P199,"['Q8565195', 'Q5476828', 'Q953040']"
Q434841,P127,['Q7414']
Q434841,P2354,['Q15947424']
Q434841,P1416,['Q5137938']
Q434841,P1889,['Q14920514']
Q434841,P1740,['Q19363029']
Q434841,P740,['Q1054483']
Q434841,P166,['Q727328']
Q434841,P1454,['Q88537331']
Q4630640,P31,['Q2915955']
Q4630640,P17,['Q142']
Q4630640,P527,['Q99193978']
Q5476713,P112,['Q53944']
Q5476713,P155,['Q185278']
Q5476713,P355,"['Q925249', 'Q434841', 'Q5476982', 'Q885885', 'Q166419', 'Q651228', 'Q57155167', 'Q23837644', 'Q3518953', 'Q953040']"
Q5476713,P31,"['Q1331793', 'Q219577', 'Q891723', 'Q10689397', 'Q375336']"
Q5476713,P414,"['Q82059', 'Q82059', 'Q82059', 'Q82059']"
Q5476713,P910,['Q15137099']
Q5476713,P159,['Q60']
Q5476713,P17,['Q30']
Q5476713,P127,"['Q53944', 'Q293679', 'Q22032185']"
Q5476713,P1454,"['Q134161', 'Q891723', 'Q57655560']"
Q5476713,P169,['Q471851']
Q5476713,P488,"['Q3215817', 'Q7176581']"
Q5476713,P452,"['Q56611639', 'Q1193236', 'Q11030']"
Q5476713,P361,['Q507306']
Q5476713,P1343,['Q3710090']
Q5476713,P156,['Q60238941']
Q5476713,P1056,['Q15078788']
Q5476713,P1889,['Q4631061']
Q5476713,P199,"['Q925249', 'Q386442']"
Q5476713,P2541,['Q13780930']
Q5476713,P1830,['Q953040']
Q5476713,P2354,['Q124881245']
Q219293,P910,['Q8207533']
Q219293,P31,"['Q41298', 'Q3083944']"
Q219293,P136,['Q3402519']
Q219293,P17,['Q30']
Q219293,P495,['Q30']
Q219293,P407,['Q1860']
Q219293,P98,['Q768414']
Q219293,P123,['Q768414']
Q219293,P159,['Q3461670']
Q219293,P101,['Q189900']
Q219293,P921,['Q68']
Q131401366,P155,['Q123688213']
Q131401366,P31,"['Q4504495', 'Q289']"
Q131401366,P664,['Q2008615']
Q131401366,P17,['Q30']
Q131401366,P276,['Q7419789']
Q131401366,P179,['Q7585305']
Q520959,P17,['Q145']
Q520959,P31,['Q41176']
Q520959,P131,"['Q156990', 'Q33225185']"
Q520959,P1435,['Q15700834']
Q520959,P7959,['Q1245075']
